number fo clusters,score
2,0.4017644374398067
3,0.43897467517020605
4,0.44572942900459617
5,0.4393550318221492
6,0.4249207426585751
7,0.4078690632529762
8,0.43337742119409794
9,0.41890275937238053
10,0.40630538676518196
11,0.397251354195525
12,0.40489117690467924
13,0.3949450551386163
14,0.404654998772354
15,0.39902399445320674
16,0.40480033593418524
17,0.39965267888239703
18,0.3900004011599467
19,0.3935889561865467
20,0.3836599714383578
21,0.380853327651605
22,0.38358288819155395
23,0.3888310399877334
24,0.3797842111150273
25,0.3840594584229497
26,0.37209485882927795
27,0.36866623240940277
28,0.37359857819049075
29,0.3655289181650115
30,0.3674813171816333
31,0.3728908418522468
32,0.3718343223774036
33,0.37404164448903165
34,0.36791419931015523
35,0.37186664100661293
36,0.36988814265661846
37,0.36535163972261286
38,0.3683349828513302
39,0.35799854154913335


max value: 0.44572942900459617
max index: 4
