number fo clusters,score
2,0.38795761479977503
3,0.4343732629177525
4,0.4058165887042387
5,0.39927156074872105
6,0.4004568028650661
7,0.4096615417966048
8,0.41772627134638324
9,0.4198190059695574
10,0.4125402431384266
11,0.40848623669040934
12,0.40569069998488694
13,0.39888417205239285
14,0.3965498340290813
15,0.39786943171910155
16,0.39364925091678554
17,0.39743691110838725
18,0.370367581571472
19,0.36814649337488914
20,0.3685027472042036
21,0.3629277733814596
22,0.360546636145264
23,0.3622181245084937
24,0.3645117003793542
25,0.36178362199034986
26,0.36035074694873176
27,0.36080572294550056
28,0.3553450200180234
29,0.3575765980764668
30,0.3524853402516931
31,0.3600088548489815
32,0.3574390900420915
33,0.3521464647783443
34,0.35094039114086323
35,0.35521983618433006
36,0.35446534765841214
37,0.3527304274104623
38,0.3512464630576132
39,0.35388063810153897

max value: 0.4343732629177525
max index: 3
